pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Chondrodysplasia Punctata II_ X Linked Dominant (CDPX2),SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149,2.51e-18,3.82e-16
CHILD Syndrome,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149,2.51e-18,3.82e-16
Desmosterolosis,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149,2.51e-18,3.82e-16
Hypercholesterolemia,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149,2.51e-18,3.82e-16
Steroid Biosynthesis,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149,2.51e-18,3.82e-16
Zoledronate Action Pathway,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (47),8.52e-05,0.0149,2.51e-18,3.82e-16
Ibandronate Action Pathway,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149,2.51e-18,3.82e-16
Pravastatin Action Pathway,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152,3.31e-18,3.82e-16
Atorvastatin Action Pathway,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152,3.31e-18,3.82e-16
Alendronate Action Pathway,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152,3.31e-18,3.82e-16
Lovastatin Action Pathway,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152,3.31e-18,3.82e-16
Risedronate Action Pathway,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152,3.31e-18,3.82e-16
Pamidronate Action Pathway,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152,3.31e-18,3.82e-16
Fluvastatin Action Pathway,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152,3.31e-18,3.82e-16
Steroid biosynthesis - Homo sapiens (human),KEGG,10,CEL;MSMO1;TM7SF2;HSD17B7;FDFT1;LSS;LIPA;DHCR7;DHCR24;SQLE,20 (20),3.79e-09,5.07e-07,20,HMDB0001170;HMDB0001251;HMDB0000032;HMDB0001188;HMDB0006842;HMDB0000067;HMDB0000937;HMDB0006851;HMDB0006271;HMDB0006846;HMDB0006841;HMDB0002719;HMDB0001242;HMDB0006927#HMDB0001181;HMDB0002374;HMDB0036591;HMDB0001286;HMDB0006845;HMDB0000876;HMDB0003550,40 (58),4.03e-10,1.62e-06,6.43e-17,7.11e-15
superpathway of cholesterol biosynthesis,HumanCyc,15,HSD17B7;MSMO1;TM7SF2;MVK;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;DHCR24;SQLE;HMGCS1;IDI1;DHCR7,25 (25),1.1e-14,1.91e-12,12,HMDB0006842;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090,40 (62),0.000646,0.0722,2.87e-16,3.06e-14
Metabolism of lipids,Reactome,69,SGPP1;HEXB;LPIN3;ACSL3;OSBPL7;CYP1A2;NEU2;TSPO;PTGES2;CYP7A1;FDFT1;HSD17B7;B4GALNT1;FADS1;ABHD5;STARD4;MECR;ACACB;AMACR;MSMO1;PLPP3;ACAT2;HPGDS;ACOT9;CYP8B1;SCD;FDPS;CYP17A1;DHCR7;DHCR24;SQLE;PPM1L;SRD5A1;ARSB;AGPAT3;GDE1;SREBF1;EGFL8;ABHD3;GPAT3;TM7SF2;SLC27A5;ACSF3;PEMT;CYP7B1;LSS;ALOXE3;CPT1B;SREBF2;HMGCR;HMGCS1;DBI;PLEKHA3;LTC4S;PLA2G4B;ACSF2;IDI1;CHKA;CHKB;AGPAT2;TBL1XR1;HSD17B13;PLD3;PTDSS2;ELOVL2;NR1H4;MVD;MVK;CH25H,645 (646),1.15e-11,1.74e-09,66,HMDB0001170;HMDB0004878;HMDB0033934;HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0000123;HMDB0001547;HMDB0006271;HMDB0000145;HMDB0002995;HMDB0062321;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0001090;HMDB0000036;HMDB0006519;HMDB0001286;HMDB0001188;HMDB0000067;HMDB0010213;HMDB0004842;HMDB0001416;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0001388;HMDB0006841;HMDB0006528;HMDB0001043;HMDB0006894;HMDB0012455;HMDB0002311;HMDB0001231;HMDB0002265;HMDB0003550;HMDB0000876;HMDB0002183;HMDB0000637;HMDB0000951;HMDB0000234;HMDB0006842;HMDB0000077;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974;HMDB0000015;HMDB0062206;HMDB0006763;HMDB0000304;HMDB0003208;HMDB0004080;HMDB0002719;HMDB0001976;HMDB0001251;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0060136;HMDB0000138;HMDB0006734;HMDB0006281;HMDB0002343;HMDB0062420;HMDB0000032;HMDB0062259;HMDB0004949;HMDB0060050;HMDB0002314;HMDB0000054;HMDB0062325;HMDB0003944;HMDB0001457;HMDB0001993,352 (626),8.01e-07,0.000805,3.71e-16,3.8e-14
Cholesterol biosynthesis,Reactome,15,HSD17B7;MSMO1;TM7SF2;MVK;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;DHCR24;SQLE;HMGCS1;IDI1;DHCR7,25 (25),1.1e-14,1.91e-12,11,HMDB0006842;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0001251;HMDB0001090,40 (46),0.00238,0.174,1.02e-15,1.01e-13
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways),Wikipathways,21,SREBF1;SREBF2;MSMO1;TM7SF2;HSD17B7;IDI1;MVK;FDPS;SCD;FDFT1;LSS;ACSL3;ELOVL2;HMGCR;DHCR7;DHCR24;FADS1;SQLE;CH25H;HMGCS1;MVD,46 (46),8.52e-17,1.27e-13,0,,4 (4),1,1,3.24e-15,3.09e-13
Activation of gene expression by SREBF (SREBP),Reactome,15,SREBF1;ACACB;TM7SF2;SREBF2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;HMGCS1;SCD;IDI1;DHCR7,26 (26),2.49e-14,4.17e-12,0,,0 (0),1,1,2.49e-14,4.17e-12
Cholesterol Biosynthesis Pathway,Wikipathways,11,MSMO1;MVD;FDFT1;LSS;FDPS;HMGCR;DHCR7;MVK;SQLE;IDI1;HMGCS1,15 (15),1.58e-12,2.47e-10,5,HMDB0000067;HMDB0001170;HMDB0001251;HMDB0000032;HMDB0001188,14 (14),0.0121,0.643,6.25e-13,5.76e-11
Regulation of cholesterol biosynthesis by SREBP (SREBF),Reactome,15,SREBF1;ACACB;TM7SF2;SREBF2;FDFT1;LSS;FDPS;HMGCR;DHCR7;MVK;SQLE;HMGCS1;SCD;IDI1;MVD,31 (31),7.86e-13,1.27e-10,0,,1 (1),1,1,2.27e-11,2.03e-09
Metabolism,Reactome,148,HEXB;DBI;CYP1A2;PPP1R3C;B4GALNT1;RPL39;ACACB;ACAT2;ACOT9;PDK4;MAT1A;AMACR;CYP17A1;IDI1;SQLE;SRD5A1;AGPAT3;SREBF1;SREBF2;ABHD3;AK9;PTDSS2;HMGCR;GCK;GCKR;PFKFB1;PLA2G4B;AMPD2;PLD3;CHKA;CHKB;HSD17B13;RETSAT;PANK1;MT-ND6;ELOVL2;ADCY9;ME3;LRP8;SGPP1;ADH7;ACSL3;PHKG1;NEU2;LRP2;SAT1;PEMT;SULT1C2;SULT2B1;MOCS3;GGCT;HPGDS;FDFT1;SCD;FDPS;ABCC8;DHCR7;DHCR24;FECH;NUDT10;PPM1L;OSBPL7;TSPO;NMRK1;ACSF3;CYP7B1;XYLB;ALDH1A1;GPC2;DCTPP1;CHST13;IL4I1;NR1H4;CEMIP;SLC27A5;CACNA1D;TPST1;PTGES2;CYP7A1;LTC4S;SLC25A21;GSTM3;CYP8B1;HSD17B7;STAB2;STARD4;NMNAT1;CALM3;RBP1;RAPGEF4;CH25H;AMDHD1;GPAT3;ABCC5;PODXL2;SCLY;ACSF2;PPM1K;CPT1B;TYMP;AGPAT2;TBL1XR1;GDE1;GSTA1;GSTA3;NOSIP;UPP2;LPIN3;MLXIPL;PPP2R1B;FADS1;NAMPT;PPP2R5D;ARSB;MT-ATP6;MECR;MT-CO1;MT-CO2;ABHD5;RDH11;MT-CYB;AASS;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND5;ASS1;PLEKHA3;TM7SF2;LSS;ALOXE3;SMS;NUP93;HAL;FUT1;ACSS2;ACMSD;PLPP3;EGFL8;MSMO1;ENO3;PCK1;MVD;MVK;HDC;CHP1;HMGCS1,1952 (1954),2.07e-11,3.03e-09,101,HMDB0006842;HMDB0035312;HMDB0033934;HMDB0000172;HMDB0006271;HMDB0000472;HMDB0000036;HMDB0004878;HMDB0004842;HMDB0001416;HMDB0001388;HMDB0006841;HMDB0006528;HMDB0000077;HMDB0000189;HMDB0006894;HMDB0012455;HMDB0001231;HMDB0000687;HMDB0002183;HMDB0000244;HMDB0062206;HMDB0000043;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0062259;HMDB0001090;HMDB0000054;HMDB0001920;HMDB0001186;HMDB0003134;HMDB0000145;HMDB0002995;HMDB0014813;HMDB0240251;HMDB0001976;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0003550;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0002719;HMDB0006281;HMDB0062420;HMDB0000032;HMDB0002104;HMDB0000840;HMDB0001178;HMDB0060136;HMDB0001170;HMDB0001547;HMDB0001325;HMDB0000279;HMDB0000015;HMDB0001016;HMDB0000290;HMDB0003944;HMDB0000637;HMDB0000951;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974;HMDB0006763;HMDB0004067;HMDB0012130;HMDB0000195;HMDB0001342;HMDB0001276;HMDB0006734;HMDB0001229;HMDB0003349#HMDB0000528;HMDB0030020;HMDB0004949;HMDB0006344;HMDB0060050;HMDB0006543;HMDB0001052;HMDB0000876;HMDB0000304;HMDB0006454;HMDB0001934;HMDB0000123;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0062321;HMDB0006519;HMDB0001286;HMDB0001188;HMDB0000067;HMDB0010213;HMDB0041905;HMDB0001043;HMDB0004080;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314;HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0000234;HMDB0003208;HMDB0001251;HMDB0000138;HMDB0013195;HMDB0000653;HMDB0062325;HMDB0001457;HMDB0001993,863 (1411),0.144,1,8.2e-11,7.09e-09
cholesterol biosynthesis I,HumanCyc,8,MSMO1;TM7SF2;HSD17B7;FDFT1;LSS;DHCR7;DHCR24;SQLE,13 (13),1.66e-08,2.04e-06,9,HMDB0006842;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006927#HMDB0001181;HMDB0001251,24 (32),0.000505,0.058,2.22e-10,1.86e-08
Steroids metabolism,INOH,10,CYP7A1;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;IDI1;DHCR7,16 (16),1.94e-10,2.75e-08,6,HMDB0001170;HMDB0001251;HMDB0001188;HMDB0000032;HMDB0000067;HMDB0001090,27 (31),0.0616,1,3.12e-10,2.54e-08
cholesterol biosynthesis III (via desmosterol),HumanCyc,8,MSMO1;TM7SF2;HSD17B7;FDFT1;LSS;DHCR7;DHCR24;SQLE,13 (13),1.66e-08,2.04e-06,8,HMDB0006842;HMDB0001286;HMDB0001188;HMDB0000067;HMDB0006271;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251,24 (32),0.00251,0.18,1.04e-09,8.19e-08
Sterol regulatory element-binding proteins (SREBP) signaling,Wikipathways,18,SREBF1;SREBF2;SEC31B;DBI;PPARG;FDFT1;LSS;FDPS;FGF21;HMGCR;HMGCS1;INSIG1;SQLE;INSIG2;SCD;PRKAB1;IDI1;MVD,68 (68),6.64e-10,9.14e-08,1,HMDB0000067,3 (5),0.289,1,4.48e-09,3.39e-07
cholesterol biosynthesis II (via 24_25-dihydrolanosterol),HumanCyc,8,MSMO1;TM7SF2;HSD17B7;FDFT1;LSS;DHCR7;DHCR24;SQLE,13 (13),1.66e-08,2.04e-06,6,HMDB0001170;HMDB0001251;HMDB0001188;HMDB0000032;HMDB0000067;HMDB0006841,19 (32),0.0117,0.643,4.54e-09,3.39e-07
Cholesterol Biosynthesis with Skeletal Dysplasias,Wikipathways,2,DHCR7;DHCR24,7 (7),0.0364,0.565,10,HMDB0001170;HMDB0002027;HMDB0001251;HMDB0000032;HMDB0006842;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0001286,12 (14),9.45e-09,1.9e-05,7.83e-09,5.7e-07
Primary bile acid biosynthesis - Homo sapiens (human),KEGG,6,CYP7B1;CYP7A1;CYP8B1;AMACR;SLC27A5;CH25H,17 (17),6.46e-05,0.00561,14,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0000067;HMDB0000123;HMDB0006281;HMDB0006888;HMDB0001993;HMDB0006894;HMDB0012455;HMDB0060136;HMDB0001231;HMDB0001457;HMDB0000138,40 (47),3.4e-05,0.0149,4.6e-08,3.26e-06
Bile Acid Biosynthesis,SMPDB,7,CYP7B1;CYP7A1;CYP8B1;AMACR;LIPA;SLC27A5;CH25H,17 (17),4.65e-06,0.000454,15,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0001231;HMDB0000896;HMDB0000067;HMDB0000123;HMDB0006281;HMDB0006888;HMDB0000631;HMDB0006894;HMDB0012455;HMDB0000138;HMDB0001457;HMDB0001993,58 (64),0.000812,0.076,7.7e-08,4.63e-06
